event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
EGY10690,2020-01-28,2020,2,"Political violence; Demonstrations",Protests,"Excessive force against protesters","Protesters (Egypt)","Journalists (Egypt)",Protesters,"Unidentified Armed Group (Egypt)",,"Political militia","Political militia-Protesters","Civilian targeting",818,"Northern Africa",Egypt,Giza,"Al Agouza",,Mohandiseen,30.0574,31.1995,1,"El Fagr News",National,"Around 28 January 2020, a group of men attacked and severely injured an employee of Tahrir Newspaper in Mohandiseen (Al-Aguza, Giza), also stealing equipment from the newspaper's headquarters. The employee was participating in a sit-in that has been ongoing since 10 September 2019 protesting a planned reduction in wages and increase in work hours. El Fagr News reports the attackers were hired by the owner of the newspaper .",0,"crowd size=no report",1745363461,111960
EGY10737,2020-02-16,2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Women (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Cairo,Abdeen,,"Cairo - Abdeen",30.0450,31.2489,1,"New Arab",Regional,"On 16 February 2020, the mother and two sisters of prominent activist Alaa Abdel Fattah, who was arrested in September 2019, organized a protest in front of the Ministry of Justice in Abdeen (Abdeen, Cairo), demanding better treatment for Alaa in prison. The three women were stopped by police who asked about the complaint they had filed and said they would pass it on to officials.",0,"crowd size=at least 3",1764637279,44517
EGY10780,2020-03-11,2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Health Workers (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"Imbabah City",,Imbabah,30.0763,31.2067,1,"El Fagr News; New Arab",National-Regional,"On 11 March 2020, nurses organized a protest in front of Imbabah Fever Hospital in Imbabah (Imbabah, Giza), protesting against the response of the hospital administration towards one of their fellow nurses who contracted coronavirus during the course of her work.",0,"crowd size=no report",1764637279,209948
EGY10837,2020-04-06,2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Labor Group (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Cairo,Bolak,,"Cairo - Bulaq",30.0604,31.2315,1,"FJ Portal",National,"On 6 April 2020, employees of the construction company Orascom staged a protest in Bulaq (Bulaq, Cairo) after administrators would not ease pressure on workers or grant more holidays.",0,"crowd size=no report",1745363461,49686
EGY10843,2020-04-07,2020,3,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Qalyubia,"Shoubra Al Khiema 1",,"Shubra al Khayma",30.1251,31.2505,1,"FJ Portal",National,"Around 7 April 2020 (between 1 April - 15 April), dozens of civilians gathered to protest in Shubra al Khaymah (Shubra al Khaymah, Kalyoubia) against the burial of people who died of coronavirus.",0,"crowd size=dozens",1745363461,214165
EGY11093,2020-09-13,2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)",,Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Cairo,"Monshait Nasir",,"Cairo - Manshiyat Nasr",30.0420,31.2831,1,"New Arab",Regional,"On 13 September 2020, dozens of residents protested in Al Duwayqah in Manshiyat Nasr (Cairo) to demand compensation after their homes were demolished. Security forces intervened to disperse the protesters and arrested a number of them.",0,"crowd size=dozens",1764637279,141014
EGY11103,2020-09-20,2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)",,Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Giza,"Al Warak",,"Al Warraq",30.1009,31.2167,1,"New Arab; Rassd",National-Regional,"On 20 September 2020, an unknown number of protesters gathered in Al Warraq (Waraq, Giza) to protest against the demolition of homes and buildings for construction projects and to call for the removal of President Sisi from office. Details of the police intervention were not reported except that it occurred.",0,"crowd size=no report",1764637279,335769
EGY11111,2020-09-21,2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)",,Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Giza,"Al Warak",,"Al Warraq",30.1009,31.2167,1,"Madamasr; New Arab",National-Regional,"On 21 September 2020, police intervened in protests and arrestsed at least 4 protesters in Al Warraq (Waraq, Giza), where protesters called for the end of President Sisi's time in office on the week of the anniversary of widespread protests a year prior.",0,"crowd size=at least 4",1764637279,335769
EGY11121,2020-09-21,2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)",,Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Qalyubia,"Shoubra Al Khiema 1",,"Shubra al Khayma",30.1251,31.2505,1,"New Arab",Regional,"On 21 September 2020, police intervened in protests in Shubra al Khayma (Shubra al Khayma, Kalyoubia), where protesters called for the end of President Sisi's time in office on the week of the anniversary of widespread protests a year prior.",0,"crowd size=no report",1764637279,214165
EGY11125,2020-09-22,2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)",,Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Giza,"Al Warak",,"Al Warraq",30.1009,31.2167,1,"New Arab",Regional,"On 22 September 2020, police intervened in protests in Al Warraq (Waraq, Giza), where protesters called for the end of President Sisi's time in office on the week of the anniversary of widespread protests a year prior.",0,"crowd size=no report",1764637279,335769
EGY10143,2019-10-20,2019,1,Demonstrations,Riots,"Violent demonstration","Rioters (Egypt)",,Rioters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Rioters",,818,"Northern Africa",Egypt,Menoufia,"Shebeen Al Kom City",,"Shibin al Kawm",30.5526,31.0090,1,"Al Dostor; Al Masry Al Youm (Egypt); AP; BBC News; Cairo Now; Daily News (Egypt); Dotmsr; Egypt Today; Masr Alarabia; Youm7",National-International,"On 20 October 2019, in Shibin al Kawm, dozens of demonstrators gathered in side streets around the Shibin al Kawm juvenile court on the first day of the trial for the murder of a local youth. Demonstrations turned into clashes and over 50 demonstrators were arrested by police forces. Police accused those arrested of being Muslim Brotherhood agents, sent in to provoke riots. Police allegedly forced 22 confessions.",0,"crowd size=dozens",1747779128,208451
EGY10649,2019-12-31,2019,1,"Political violence",Riots,"Mob violence","Rioters (Egypt)",,Rioters,"Civilians (Egypt)","Women (Egypt)",Civilians,Rioters-Civilians,"Civilian targeting",818,"Northern Africa",Egypt,Dakahlia,"Al Mansoura 2",,"Al Mansurah",31.0364,31.3807,1,"AP; Cairo Now; Dotmsr; Egypt Independent; Egypt Radio and TV Network; Egyptian Streets; El Fagr News; Madamasr; Masr Alarabia; Misr5",National-International,"On the 31 December 2019, at least 17 men began to physically and verbally harassed the young woman wearing a short skirt in Al Mansurah (Dakahlia), which led to clashes as other men nearby began fighting the attackers as they tried to protect the woman before she could escape. Police have since arrested 17 men.",0,"crowd size=more than 17",1747779128,273423
EGY11083,2020-09-07,2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"Al Omrania",,"Al Mounib",29.9864,31.1998,1,"AP; FJ Portal; New Arab; Rassd",National-Regional,"On 7 September 2020, dozens of protesters gathered outside a police station in Al Mounib (Giza, Giza) to protest the death of a detainee under police custody.",0,"crowd size=no report",1764637279,97713
EGY11157,2020-09-25,2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)",,Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Damietta,Damietta,,Shata,31.4122,31.8660,1,AP,International,"On 25 September 2020, Egyptian police forces intervened and arrested an unknown number of protesters after dozens of protesters called for the end of President Sisi's time in office in Shata (Dumyat, Damietta).",0,"crowd size=dozens",1753970510,6343
