event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
EGY877,2011-02-14,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Journalists (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Qalyubia,"Banha City",,Banha,30.4591,31.1786,2,AFP,International,"Workers in banking, transport, oil, tourism, textiles, state-owned media and government bodies strike to demand higher wages and better conditions. The protests were in several cities. The striking initially began with a spike in food prices.",0,,1618529472,
EGY878,2011-02-14,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Journalists (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,"Beni Suef","Beni Suef City",,"Bani Suwayf",29.0744,31.0979,2,AFP,International,"Workers in banking, transport, oil, tourism, textiles, state-owned media and government bodies strike to demand higher wages and better conditions. The protests were in several cities. The striking initially began with a spike in food prices.",0,,1618529473,
EGY968,2011-03-06,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Students (Egypt); Teachers (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"Giza City",,Oula,30.0208,31.2139,1,Al-Shab,National,"A large number of Cairo university students (mass comm) and professors protested to demand the firing of all the senior figures at the university.",0,,1618529569,
EGY9972,2011-11-15,2011,1,Demonstrations,Riots,"Violent demonstration","Rioters (Egypt)","Bedouin Ethnic Group (Egypt)",Rioters,"Military Forces of Egypt (2011-2012)",,"State forces","State forces-Rioters",,818,"Northern Africa",Egypt,"South Sinai","Abu Redis",,"Abou Redis",28.9067,33.1922,1,Youm7,National,"On 15 November 2011, dozens of Bedouin youth clashed with police in front of the Balaim Petroleum Company headquarters in the town of Abu Raidis over demands that the company fulfill promises to employ a certain number of Bedouin workers. 3 officers were seriously wounded in the clash.",0,"crowd size=dozens",1618529598,
EGY9966,2011-11-11,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Al-Nour Party",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"Al Ahram",,"Al Haram",29.9931,31.1309,1,Youm7,National,"On 11 November 2011, dozens of Al-Nour Party supporters marched in support of their candidates for the upcoming elections through the Al-Ahram district of Giza governorate.",0,"crowd size=dozens",1618529597,
EGY9973,2011-11-15,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,"North Sinai","Al Arish 2",,"Al Arish",31.1316,33.7984,1,Youm7,National,"On 15 November 2011, more than 5,000 people demonstrated in the town of Al Arish against the recent security operations in the area which had been carried out after a number of attacks.",0,"crowd size=more than 5,000",1618529598,
EGY9944,2011-09-21,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"Giza City",,"Al Jizah",30.0081,31.2109,1,Youm7,National,"On 21 September 2011, hundreds of protesters gathered in Al Jizah to denounce the emergency laws and the use of military tribunals to prosecute civilians.",0,"crowd size=hundreds",1618529594,
EGY9934,2011-08-19,2011,1,Demonstrations,Riots,"Violent demonstration","Rioters (Egypt)",,Rioters,"Police Forces of Egypt (2011-2012)",,"State forces","State forces-Rioters",,818,"Northern Africa",Egypt,Alexandria,"Awal Al Raml",,Roushdy,31.2317,29.9499,1,Youm7,National,"On 19 August 2011, demonstrators gathered in front of the Israeli consulate in Roushdy in Alexandria to denounce the Israeli airstrikes that killed 5 Egyptian military police officers. Some of the demonstrators attempted to storm the embassy before the police intervened and cordoned off the area.",0,"crowd size=no report",1618529593,
EGY10006,2011-12-16,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Alexandria,"Bab Sharqi",,Alexandria,31.1981,29.9192,2,Youm7,National,"On 16 December 2011, dozens of protesters demonstrated in front of the military headquarters in the town of Alexandria against the attack on protesters near the Council of Ministers in Cairo taking place on the same day.",0,"crowd size=dozens",1569279142,
EGY9987,2011-11-26,2011,1,Demonstrations,Riots,"Violent demonstration","Rioters (Egypt)",,Rioters,,,,"Rioters only",,818,"Northern Africa",Egypt,Sharqia,"Derb Neg",,"Diyarb Najm",30.7544,31.4402,2,Youm7,National,"On 26 November 2011, residents of the village of Akwa in the district of Dyarb Ngim set fire to tires and blocked the main road through the town to condemn recent insecurity in the town.",0,"crowd size=not reported",1618529599,
EGY9947,2011-09-30,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"Giza City",,"Al Jizah",30.0081,31.2109,1,Youm7,National,"On 30 September 2011, hundreds of civilians gathered in front of Al-Istiqama mosque in Al Jizah to denounce the SCAFs new electoral law and to demand the end of the state of emergency.",0,"crowd size=hundreds",1618529594,
